frame	x1	y1	x2	y2	confidence	cluster
0	-0.2552	-0.4081	0.1745	0.4125	0.8442	-1
1	-0.2563	-0.4104	0.1733	0.4165	0.865	-1
2	-0.2578	-0.4042	0.1724	0.4214	0.8843	-1
3	-0.2598	-0.4015	0.172	0.4397	0.8565	-1
4	-0.2596	-0.396	0.1719	0.4405	0.8505	-1
5	-0.2595	-0.3959	0.1719	0.4365	0.8489	-1
6	-0.2573	-0.3901	0.1722	0.446	0.8566	-1
7	-0.2548	-0.3858	0.1729	0.4531	0.8391	-1
8	-0.2553	-0.3818	0.1742	0.4466	0.8394	-1
9	-0.2554	-0.3768	0.1754	0.4618	0.8938	-1
10	-0.2551	-0.3766	0.1754	0.461	0.8982	-1
11	-0.2545	-0.3742	0.1766	0.4774	0.9041	-1
12	-0.2528	-0.3723	0.1781	0.4752	0.9103	-1
13	-0.251	-0.3744	0.1786	0.4638	0.8562	-1
14	-0.251	-0.3748	0.1786	0.4632	0.8583	-1
15	-0.2517	-0.3771	0.1783	0.4474	0.8066	-1
16	-0.252	-0.3834	0.1762	0.4259	0.8113	-1
17	-0.2519	-0.3871	0.1751	0.4384	0.8415	-1
18	-0.2536	-0.3945	0.1741	0.3825	0.7962	-1
19	-0.253	-0.4044	0.1733	0.4151	0.7776	-1
20	-0.2531	-0.4051	0.1733	0.4157	0.7744	-1
21	-0.2542	-0.4068	0.1722	0.4127	0.8582	-1
22	-0.2554	-0.4051	0.1709	0.4075	0.8459	-1
23	-0.2599	-0.408	0.17	0.4105	0.7524	-1
24	-0.266	-0.3996	0.1693	0.4269	0.4424	-1
25	-0.2643	-0.3996	0.1692	0.4273	0.4452	-1
26	-0.4885	-0.3905	0.1702	0.4618	0.3426	-1
27	-0.4917	-0.3865	0.1716	0.4706	0.261	-1
28	-0.4914	-0.3871	0.1728	0.4609	0.2537	-1
29	-0.4934	-0.384	0.1737	0.4804	0.2504	-1
31	-0.2527	-0.3832	0.1737	0.4786	0.3973	-1
31	-0.4521	-0.3818	0.1741	0.4803	0.2664	-1
33	-0.2508	-0.3857	0.1749	0.4869	0.2565	-1
34	-0.4946	-0.3844	0.1757	0.4889	0.533	-1
35	-0.4943	-0.3842	0.1756	0.4897	0.5038	-1
36	-0.4949	-0.4124	0.1758	0.4801	0.7463	-1
37	-0.494	-0.4082	0.1756	0.4725	0.6143	-1
38	-0.4932	-0.4007	0.1742	0.46	0.6741	-1
39	-0.4929	-0.4042	0.1729	0.4701	0.4414	-1
40	-0.4928	-0.4041	0.1729	0.4707	0.4411	-1
41	-0.4932	-0.398	0.1711	0.4683	0.498	-1
42	-0.4932	-0.4025	0.1703	0.4741	0.6592	-1
43	-0.4915	-0.3945	0.1689	0.4783	0.7904	-1
44	-0.4919	-0.3984	0.168	0.4736	0.7621	-1
45	-0.492	-0.4013	0.1679	0.4741	0.7741	-1
46	-0.4936	-0.423	0.1684	0.4655	0.8022	-1
47	-0.4917	-0.442	0.1689	0.4764	0.801	-1
48	-0.4921	-0.3824	0.17	0.4732	0.5705	-1
49	-0.4915	-0.3906	0.1705	0.4805	0.474	-1
50	-0.4916	-0.3856	0.1705	0.4809	0.4248	-1
54	-0.4918	-0.4047	0.1687	0.4086	0.4462	-1
55	-0.4918	-0.4024	0.1687	0.4065	0.4876	-1
56	-0.4929	-0.396	0.1691	0.4135	0.6435	-1
359	-0.4974	-0.337	0.1187	0.4978	0.8458	-1
359	-0.0936	0.3583	-0.0589	0.4964	0.512	-1
360	-0.4978	-0.3994	0.0842	0.4978	0.8665	-1
360	-0.0933	0.3602	-0.0586	0.4969	0.5441	-1
361	-0.4977	-0.5	0.0463	0.4978	0.8568	0
361	-0.0928	0.3618	-0.0583	0.497	0.6195	-1
362	-0.4976	-0.5	0.0171	0.4981	0.8803	0
362	-0.0925	0.3625	-0.0588	0.4975	0.5177	-1
363	-0.4977	-0.5	-0.0104	0.4964	0.8617	0
364	-0.4978	-0.5	-0.0104	0.4964	0.866	0
365	-0.4978	-0.5	-0.0482	0.4964	0.9172	0
366	-0.4975	-0.5	-0.0624	0.4964	0.9078	0
367	-0.4972	-0.5	-0.0615	0.4994	0.6017	0
368	-0.4974	-0.5	-0.0659	0.4979	0.7267	0
369	-0.4974	-0.5	-0.0665	0.498	0.7315	0
371	-0.4979	-0.5	-0.0646	0.4978	0.2746	0
372	-0.3734	-0.5	-0.0804	-0.117	0.4132	-1
372	-0.4983	-0.5	-0.0752	0.497	0.3934	0
375	-0.0557	-0.029	0.0293	0.0796	0.2958	-1
376	0.1485	0.4589	0.196	0.4959	0.4652	-1
377	-0.1562	-0.0207	0.1061	0.4798	0.7258	-1
377	0.1815	0.4711	0.2081	0.4976	0.5734	-1
377	0.1532	0.456	0.1783	0.4895	0.2992	-1
378	-0.1491	-0.0041	0.1089	0.4829	0.8637	-1
379	-0.1496	-0.0041	0.109	0.4825	0.865	-1
380	-0.4995	0.1407	-0.418	0.4983	0.281	-1
381	-0.4994	0.1407	-0.418	0.4982	0.2583	-1
382	-0.2237	-0.373	-0.0251	-0.2485	0.8428	-1
382	-0.1322	0.0159	0.1237	0.4931	0.8333	-1
383	-0.2273	-0.3502	-0.0203	-0.2296	0.8213	-1
383	-0.1302	0.0259	0.1342	0.4942	0.5044	-1
384	-0.2237	-0.3197	-0.0153	-0.2055	0.8266	-1
