Timestamp (Current Time),X,Y,Time (seconds),Result
2024-12-27 13:09:17.672000,-0.6823167632843925,-0.2612791254349862,38.6629,
2024-12-27 13:09:17.701200,-0.6864290202413912,-0.250563519944774,38.6921,
2024-12-27 13:09:17.732000,-0.6858191388998499,-0.2370684872470643,38.7229,
2024-12-27 13:09:17.759900,-0.6630426860005142,-0.2055407188133465,38.7508,
2024-12-27 13:09:17.820900,-0.5425862409943494,-0.2020481529474739,38.8118,
2024-12-27 13:09:17.854600,-0.3594006095184659,-0.0183498162551541,38.8455,
2024-12-27 13:09:17.881200,-0.1662232597406928,0.326123554148909,38.8721,
2024-12-27 13:09:17.915400,-0.0590166558043805,0.5359141464518087,38.9063,
2024-12-27 13:09:17.942900,0.0054596767891661,0.6216599535689599,38.9338,
2024-12-27 13:09:17.973600,0.0376375494206909,0.6728394014471432,38.9645,
2024-12-27 13:09:18.002500,0.0592189652325716,0.7055694822675744,38.9934,
2024-12-27 13:09:18.033200,0.0697459063404197,0.7259855870718512,39.0241,
2024-12-27 13:09:18.068500,0.0757070285946633,0.7335970795831154,39.0594,
2024-12-27 13:09:18.094100,0.0799418523062342,0.7387893218357521,39.085,
2024-12-27 13:09:18.123400,0.0789311034916957,0.7397829773002722,39.1143,
2024-12-27 13:09:18.154800,0.0714174617136476,0.745638436555133,39.1457,
2024-12-27 13:09:18.184700,0.0642118475519376,0.7509358847979783,39.1756,
2024-12-27 13:09:18.213100,0.0597191955647586,0.7597986363197602,39.204,
2024-12-27 13:09:18.244200,0.0532588829298729,0.7663414933790431,39.2351,
2024-12-27 13:09:18.275300,0.0465226972146228,0.7670504393983273,39.2662,
2024-12-27 13:09:18.304900,0.0404556667004724,0.769410212683806,39.2958,
2024-12-27 13:09:18.336600,0.0338238890671636,0.7688991007276669,39.3275,
2024-12-27 13:09:18.365300,0.0295603505053387,0.7702288498420937,39.3562,
2024-12-27 13:09:18.395100,0.0244235204230479,0.7707609249936869,39.386,
2024-12-27 13:09:18.426700,0.021194602887977,0.769670058804201,39.4176,
2024-12-27 13:09:18.455300,0.0174986393727456,0.7720734160355771,39.4462,
2024-12-27 13:09:18.484400,0.0125246278381802,0.7778374172563176,39.4753,
2024-12-27 13:09:18.516700,0.0068897321646151,0.7791492257755653,39.5076,
2024-12-27 13:09:18.546700,0.001717102523068,0.7792081177293059,39.5376,
2024-12-27 13:09:18.578100,-0.003234022819998,0.7783868479836821,39.569,
2024-12-27 13:09:18.607600,-0.0068518929939787,0.7789828852572186,39.5985,
