Timestamp (Current Time),X,Y,Time (seconds),Result
2024-12-27 12:47:43.946100,0.256085871093633,-0.1333261816741484,17.331,
2024-12-27 12:47:43.972700,0.257595330144304,-0.1355443512894991,17.3576,
2024-12-27 12:47:44.005700,0.2581419638790916,-0.1368780587096206,17.3906,
2024-12-27 12:47:44.035700,0.257949824315295,-0.1380335467828536,17.4206,
2024-12-27 12:47:44.065900,0.2575210007213543,-0.1387399546694833,17.4508,O
2024-12-27 12:47:44.093500,0.2574964015384461,-0.1390621424170407,17.4784,O
2024-12-27 12:47:44.128000,0.2577203205871891,-0.1380391910923334,17.5129,O
2024-12-27 12:47:44.155100,0.2575159479162164,-0.1361797597042514,17.54,O
2024-12-27 12:47:44.185200,0.2573461470698716,-0.1343399568699938,17.5701,O
2024-12-27 12:47:44.214000,0.2571603899967755,-0.1318212525305871,17.5989,O
2024-12-27 12:47:44.247700,0.2564870372278715,-0.1292544670363524,17.6326,O
2024-12-27 12:47:44.274300,0.2553327371909727,-0.126704295396532,17.6592,O
2024-12-27 12:47:44.305900,0.2547164279327045,-0.1246310844115834,17.6908,O
2024-12-27 12:47:44.335600,0.2544096694734112,-0.1224288134847284,17.7205,O
2024-12-27 12:47:44.366900,0.2538114439387945,-0.1188175556729161,17.7518,O
2024-12-27 12:47:44.396500,0.2528958224603836,-0.1135025525922014,17.7814,O
2024-12-27 12:47:44.428200,0.2510720257427124,-0.1075150734970513,17.8131,O
2024-12-27 12:47:44.459300,0.2491039581414984,-0.101360025525922,17.8442,O
2024-12-27 12:47:44.490100,0.2471767118870564,-0.096523633482968,17.875,O
2024-12-27 12:47:44.519500,0.2448893867822606,-0.0942772423202183,17.9044,O
2024-12-27 12:47:44.549700,0.2422870591676832,-0.0931871094093829,17.9346,O
2024-12-27 12:47:44.580400,0.2398921625008725,-0.091962415280345,17.9653,O
2024-12-27 12:47:44.607900,0.2377953813371982,-0.0910324795352521,17.9928,O
2024-12-27 12:47:44.637600,0.2363138456833419,-0.0906654343807763,18.0225,O
2024-12-27 12:47:44.670900,0.2348753652480029,-0.0905350541325587,18.0558,O
2024-12-27 12:47:44.701900,0.2340454021135351,-0.0899083487369069,18.0868,O
2024-12-27 12:47:44.728900,0.2336237588216325,-0.0887113810404013,18.1138,O
2024-12-27 12:47:44.761000,0.2328923918716321,-0.0882182466332189,18.1459,O
2024-12-27 12:47:44.791400,0.2321911422996246,-0.0872045814628993,18.1763,O
2024-12-27 12:47:44.819000,0.2315317246354167,-0.0864351729601267,18.2039,O
2024-12-27 12:47:44.851000,0.2464988381872396,-0.0331627937681542,18.2359,O
2024-12-27 12:47:44.879300,0.3356316505054466,0.1363031423290203,18.2642,O
2024-12-27 12:47:44.909400,0.4276795324825561,0.3026678989525569,18.2943,
2024-12-27 12:47:44.940500,0.4805322731307113,0.4173247293372062,18.3254,
2024-12-27 12:47:44.973100,0.5044265897221953,0.4854770706803979,18.358,
2024-12-27 12:47:44.999300,0.5187187149918722,0.5230442962767362,18.3842,
2024-12-27 12:47:45.030400,0.5258046093550026,0.5428638544142241,18.4153,
2024-12-27 12:47:45.063100,0.5391115705913443,0.5544199454273391,18.448,
2024-12-27 12:47:45.091700,0.5472763718199738,0.5688562846580406,18.4766,
2024-12-27 12:47:45.120500,0.5531708679190088,0.5718183918669131,18.5054,
2024-12-27 12:47:45.151700,0.5507259750750441,0.5769629654079746,18.5366,
2024-12-27 12:47:45.181600,0.5532793702609174,0.5837935701082652,18.5665,X
2024-12-27 12:47:45.211800,0.5525875348626932,0.5895963163453921,18.5967,
2024-12-27 12:47:45.241300,0.5538625703486768,0.593041655664114,18.6262,
2024-12-27 12:47:45.271800,0.555880767095601,0.5962733254114955,18.6567,
2024-12-27 12:47:45.302000,0.5565688793742498,0.5990677537188628,18.6869,
2024-12-27 12:47:45.335300,0.5250909671135517,0.5837312956605933,18.7202,
2024-12-27 12:47:45.363800,0.4313449437044374,0.5453184138720183,18.7487,
2024-12-27 12:47:45.393500,0.3175089670670128,0.496406676348913,18.7784,
2024-12-27 12:47:45.423600,0.2286893089956552,0.4582950444503125,18.8085,
2024-12-27 12:47:45.454200,0.1727379887841022,0.4311640700642549,18.8391,
2024-12-27 12:47:45.490200,0.1397138383700714,0.4170718906786375,18.8751,
2024-12-27 12:47:45.512800,0.1161253494579868,0.4024513687175425,18.8977,
2024-12-27 12:47:45.546700,0.1033194201241261,0.3956408986884958,18.9316,
2024-12-27 12:47:45.574600,0.0961409386915228,0.3943417172784085,18.9595,
2024-12-27 12:47:45.607000,0.0932590526655208,0.3922043614118475,18.9919,
2024-12-27 12:47:45.634300,0.0923884317356052,0.391843917788927,19.0192,
2024-12-27 12:47:45.663600,0.0918432327315397,0.3885477730833553,19.0485,
