Timestamp,EAR,Normalized EAR,EAR 0/1,Transition Count
43:14.7,0.318476347,57.72246395885193,1,0
43:14.8,0.350173832,71.65299687293174,1,0
43:14.9,0.369283603,80.05143270769995,1,0
43:14.9,0.342200269,68.14874466446823,1,0
43:14.9,0.358559672,75.33843816684534,1,0
43:15.0,0.350970266,72.00301675781824,1,0
43:15.0,0.333507165,64.32826580321098,1,0
43:15.1,0.355843886,74.14489406514146,1,0
43:15.1,0.38669189,87.70209379425766,1,0
43:15.1,0.353975357,73.32370573630676,1,0
43:15.1,0.367501228,79.26810767094284,1,0
43:15.2,0.260141666,32.085313449818,1,0
43:15.2,0.21875,13.89434449497513,0,0
43:15.3,0.190035588,1.274824003855793,0,0
43:15.3,0.258038021,31.160795434838604,1,1
43:15.3,0.318012516,57.51861772272089,1,0
43:15.4,0.332595053,63.92740730490023,1,0
43:15.4,0.332595053,63.92740730490023,1,0
43:15.4,0.323889912,60.10163837647562,1,0
43:15.5,0.339279049,66.86491563641543,1,0
43:15.5,0.305613489,52.06944553363194,1,0
43:15.5,0.334241723,64.65109218506116,1,0
43:15.6,0.324194196,60.23536628193019,1,0
43:15.6,0.349759057,71.47070995681086,1,0
43:15.6,0.311293418,54.56568262891367,1,0
43:15.7,0.338376752,66.46837067214538,1,0
43:15.7,0.373462368,81.88793246068364,1,0
43:15.7,0.329364882,62.50779930023975,1,0
43:15.7,0.354303575,73.46795224835633,1,0
43:15.8,0.352927855,72.8633455188143,1,0
43:15.8,0.334610863,64.81332325544115,1,0
43:15.9,0.334610863,64.81332325544115,1,0
43:15.9,0.334610863,64.81332325544115,1,0
43:15.9,0.350970266,72.00301675781824,1,0
43:16.0,0.332964193,64.08963837528023,1,0
43:16.0,0.339911984,67.14308035042896,1,0
43:16.0,0.334610863,64.81332325544115,1,0
43:16.1,0.369250344,80.03681591415341,1,0
43:16.1,0.357183352,74.73356774699006,1,0
43:16.2,0.334610863,64.81332325544115,1,0
43:16.2,0.338864752,66.68283879357743,1,0
43:16.2,0.367501228,79.26810767094284,1,0
43:16.3,0.382917995,86.04352786980716,1,0
43:16.3,0.354851359,73.70869447259923,1,0
43:16.3,0.377710047,83.75471880407794,1,0
