Timestamp (Current Time),X,Y,Time (seconds),Result
2024-12-27 13:55:22.659100,0.0118498978217004,0.2561833752715834,0.0,O
2024-12-27 13:55:22.682300,0.0017238156020138,0.1583833692230081,0.0232,O
2024-12-27 13:55:22.715900,-0.0033516201331004,0.1177555709351055,0.0568,O
2024-12-27 13:55:22.748800,-0.0033949411534652,0.0987771796895855,0.0897,O
2024-12-27 13:55:22.783200,-0.0034891471818774,0.0888475447824684,0.1241,O
2024-12-27 13:55:22.803600,-0.0028305645270466,0.0828563870983014,0.1445,O
2024-12-27 13:55:22.833000,-0.002750970747567,0.1171708753208924,0.1739,O
2024-12-27 13:55:22.865100,-0.0041733442495429,0.1109470885533344,0.206,O
2024-12-27 13:55:22.893600,-0.0058204025674581,0.1073049038605253,0.2345,O
2024-12-27 13:55:22.925600,-0.0082271259210552,0.103160095707747,0.2665,O
2024-12-27 13:55:22.954600,-0.0112797106774712,0.1013079386674465,0.2955,O
2024-12-27 13:55:22.985700,-0.0132678360763533,0.1007578689554244,0.3266,O
2024-12-27 13:55:23.015300,-0.0153970986090429,0.099790863933792,0.3562,O
2024-12-27 13:55:23.044800,-0.0188887384686793,0.09979930125806,0.3857,O
2024-12-27 13:55:23.076400,-0.0223415269370363,0.1001399719223382,0.4173,O
2024-12-27 13:55:23.105700,-0.0245368024531388,0.1003401666163351,0.4466,O
2024-12-27 13:55:23.136500,-0.0263083227501972,0.1006017236686452,0.4774,O
2024-12-27 13:55:23.166600,-0.028071591424329,0.099875675479032,0.5075,O
2024-12-27 13:55:23.196900,-0.0297251822770612,0.0999989480738577,0.5378,O
2024-12-27 13:55:23.226000,-0.0313105253318378,0.1005426623987687,0.5669,O
2024-12-27 13:55:23.256700,-0.0211269911875246,0.1023277591474842,0.5976,O
2024-12-27 13:55:23.288000,0.1250736135017179,0.1280174391822328,0.6289,O
2024-12-27 13:55:23.318000,0.3742536471528677,0.1756134811348006,0.6589,O
2024-12-27 13:55:23.347900,0.5580951644200334,0.2190404768030564,0.6888,
2024-12-27 13:55:23.378000,0.6646222411321914,0.2523294356547738,0.7189,
2024-12-27 13:55:23.408800,0.7223292784342544,0.2818254666059474,0.7497,
2024-12-27 13:55:23.437800,0.7494112767882277,0.3053872512687766,0.7787,
2024-12-27 13:55:23.469100,0.7653783390600455,0.3278216603865217,0.81,
2024-12-27 13:55:23.498500,0.7712992223275164,0.3407656444428278,0.8394,
2024-12-27 13:55:23.527800,0.7723972039031894,0.3545539307192679,0.8687,
2024-12-27 13:55:23.559600,0.7733932435539568,0.367092035648024,0.9005,
2024-12-27 13:55:23.590100,0.7713958350792821,0.3753342385742195,0.931,
2024-12-27 13:55:23.618900,0.7681842346727178,0.3822632651173842,0.9598,
2024-12-27 13:55:23.650700,0.7640046157515745,0.3884649504783856,0.9916,
2024-12-27 13:55:23.679800,0.7602882910759987,0.3929655836064326,1.0207,
2024-12-27 13:55:23.709700,0.7562154275264685,0.3961589903086924,1.0506,
2024-12-27 13:55:23.739900,0.7515995040430803,0.3968156332880277,1.0808,
2024-12-27 13:55:23.770100,0.7477862227981167,0.3965342430449056,1.111,
2024-12-27 13:55:23.801400,0.7441125315076617,0.3960063185696962,1.1423,
2024-12-27 13:55:23.831100,0.7410537580340508,0.3953318805064501,1.172,
2024-12-27 13:55:23.860800,0.736220197995973,0.394345568257077,1.2017,
2024-12-27 13:55:23.893100,0.7297301246553765,0.3932404760141118,1.234,
2024-12-27 13:55:23.921200,0.7204159333681448,0.3922868940083604,1.2621,
2024-12-27 13:55:23.952600,0.709669397867901,0.3930536276330481,1.2935,
2024-12-27 13:55:23.982000,0.6973603831847396,0.3940377483696243,1.3229,
2024-12-27 13:55:24.011100,0.6840417480547444,0.3941971370953429,1.352,
2024-12-27 13:55:24.042100,0.6706689616492931,0.3944479119046922,1.383,
2024-12-27 13:55:24.072900,0.6573517017897855,0.3963312541720927,1.4138,
2024-12-27 13:55:24.103100,0.6451800422465903,0.3999194071168942,1.444,
