Unnamed: 0,x1,y1,x2,y2,confidence,cluster,new_cluster,Time (seconds),Timestamp (Current Time),X,Y
39,0.1287,-0.340134,0.366,0.001909,0.2782,-1,1,1.3,2025-01-02 13:23:37.510000,-0.0665808358557669,0.3264810393971563
46,0.1258,-0.327684,0.3614,0.006889,0.317,-1,1,1.5,2025-01-02 13:23:37.719800,-0.0607904272091197,0.3335428169436321
48,0.126,-0.33283,0.3501,0.00498,0.4046,-1,1,1.6,2025-01-02 13:23:37.811600,-0.0567024448013937,0.3343185385994148
102,-0.0626,-0.084328,-0.0323,-0.049302,0.3135,-1,1,3.4,2025-01-02 13:23:39.624100,-0.0837622605131656,0.2063678124224826
104,-0.0635,-0.082004,-0.0315,-0.055112,0.2597,-1,1,3.5,2025-01-02 13:23:39.713200,-0.0796029053982144,0.3989912862305462
122,-0.064,-0.087731,-0.0295,-0.051128,0.2599,-1,1,4.1,2025-01-02 13:23:40.318200,-0.0702190804893561,0.4701797803583579
125,-0.0655,-0.084909,-0.0324,-0.054531,0.3189,-1,1,4.2,2025-01-02 13:23:40.408700,-0.0727665942317733,0.4588677538354601
128,-0.0658,-0.084909,-0.035,-0.05312,0.432,-1,1,4.3,2025-01-02 13:23:40.499900,-0.0751610294499814,0.4512319561182463
131,-0.0676,-0.086154,-0.0373,-0.053369,0.3917,-1,1,4.4,2025-01-02 13:23:40.620700,-0.0755300204682197,0.444286497762123
136,-0.0693,-0.083332,-0.0391,-0.055776,0.2754,-1,1,4.5,2025-01-02 13:23:40.711300,-0.0771630849344495,0.4418613340242915
137,-0.0705,-0.084245,-0.0396,-0.055029,0.4601,-1,1,4.6,2025-01-02 13:23:40.801800,-0.0843263431186437,0.4406401299143272
140,-0.0725,-0.082419,-0.0397,-0.054365,0.2533,-1,1,4.7,2025-01-02 13:23:40.922900,-0.0919113406807723,0.4346977845556943
143,-0.0716,-0.080178,-0.0379,-0.056855,0.2999,-1,1,4.8,2025-01-02 13:23:41.013200,-0.0967432141787589,0.4297846119969418
181,-0.1247,-0.148653,-0.0557,-0.079182,0.2724,-1,1,6.0,2025-01-02 13:23:42.220600,-0.0632942572659704,0.1168481685254596
182,0.131,-0.326439,0.3409,0.000913,0.3082,-1,1,6.1,2025-01-02 13:23:42.312900,-0.0238107333166682,0.2650199807539787
187,-0.0754,-0.042662,-0.0386,-0.004316,0.4416,-1,1,6.2,2025-01-02 13:23:42.403900,-0.0117128892859881,0.3571695113429632
188,-0.0761,-0.041749,-0.0376,0.001411,0.5563,-1,1,6.3,2025-01-02 13:23:42.494700,-0.0084707368806629,0.3903778885060219
191,-0.0772,-0.037433,-0.022,0.005478,0.4229,-1,1,6.4,2025-01-02 13:23:42.614400,-0.0293894369630803,0.3724317918092835
194,-0.0778,-0.033864,-0.0504,-0.000249,0.2518,-1,1,6.5,2025-01-02 13:23:42.704100,-0.0568475723998305,0.3333390077996644
220,-0.1714,-0.215053,0.2735,0.375575,0.3687,-1,1,7.3,2025-01-02 13:23:43.520200,-0.150677468375734,0.2473656105821573
221,-0.1734,-0.197042,0.2688,0.265932,0.6047,-1,1,7.4,2025-01-02 13:23:43.610900,-0.1513197299283982,0.251769438621361
224,-0.1533,-0.181853,0.2711,0.263027,0.8969,-1,1,7.5,2025-01-02 13:23:43.701500,-0.1513333424083198,0.2592124223943033
227,-0.1482,-0.177952,0.1377,0.254561,0.5736,-1,1,7.6,2025-01-02 13:23:43.794300,-0.1495009169861473,0.2671998601575672
230,-0.1495,-0.17015,0.2654,0.257798,0.835,-1,1,7.7,2025-01-02 13:23:43.911800,0.0625360730717923,0.1806895994696362
233,-0.1535,-0.155293,0.2661,0.258545,0.6481,-1,1,7.8,2025-01-02 13:23:44.004400,0.2980818159543216,0.0662180743101579
236,-0.1472,-0.146412,0.2696,0.283777,0.6235,-1,1,7.9,2025-01-02 13:23:44.094000,0.1847201877408482,-0.0022096519282353
239,-0.1519,-0.397819,0.2686,0.321625,0.7491,-1,1,8.0,2025-01-02 13:23:44.215900,0.114418555295131,-0.0386139327456356
242,-0.1471,-0.404127,0.2679,0.342209,0.783,-1,1,8.1,2025-01-02 13:23:44.306000,0.0582024472763904,0.0022289598526347
245,-0.1456,-0.411348,0.2662,0.330589,0.8777,-1,1,8.2,2025-01-02 13:23:44.397000,-0.0314504901730268,0.0963284139394959
248,-0.1509,-0.411929,0.2624,0.326356,0.8755,-1,1,8.3,2025-01-02 13:23:44.517100,-0.0916502285659127,0.1528217794566336
251,-0.1732,-0.414502,0.258,0.317475,0.8954,-1,1,8.4,2025-01-02 13:23:44.607900,-0.1028135449125211,0.166538954327031
254,-0.1788,-0.403214,0.2576,0.317724,0.7895,-1,1,8.5,2025-01-02 13:23:44.699000,-0.1086100173002243,0.1844886915255455
257,-0.1913,-0.40753,0.2514,0.311499,0.8841,-1,1,8.6,2025-01-02 13:23:44.819200,-0.0935918013270928,0.1685652546678379
260,-0.1837,-0.397155,0.2517,0.309175,0.7977,-1,1,8.7,2025-01-02 13:23:44.908700,-0.0512124388366525,0.0696142055621855
263,-0.1796,-0.398234,0.2502,0.304278,0.7845,-1,1,8.8,2025-01-02 13:23:45.000900,-0.0410637163060183,0.0291624826689269
266,-0.1835,-0.40919,0.253,0.30627,0.8521,-1,1,8.9,2025-01-02 13:23:45.121200,-0.0348222705121508,0.0372489656626986
269,-0.1785,-0.351256,0.2496,0.298468,0.831,-1,1,9.0,2025-01-02 13:23:45.212800,-0.0332367878507378,0.0446273931693278
272,-0.1827,-0.254395,0.2505,0.294899,0.8943,-1,1,9.1,2025-01-02 13:23:45.301700,0.1307495402694282,0.2691269678791305
275,-0.1909,-0.258047,0.2488,0.292077,0.8773,-1,1,9.2,2025-01-02 13:23:45.394400,0.2389751906365939,0.4198002661545791
278,-0.1856,-0.237546,0.2517,0.299796,0.6569,-1,1,9.3,2025-01-02 13:23:45.514800,0.2545383079934958,0.4845222519407042
281,-0.1937,-0.240285,0.2532,0.310918,0.801,-1,1,9.4,2025-01-02 13:23:45.605400,0.2528488445479544,0.5064576163792511
284,-0.182,-0.226175,0.2585,0.323368,0.8434,-1,1,9.5,2025-01-02 13:23:45.697300,0.3502578636821511,0.518206960020363
287,-0.1905,-0.359307,0.267,0.325526,0.821,-1,1,9.6,2025-01-02 13:23:45.816100,0.679717838041189,0.5256977566992233
290,-0.1827,-0.330921,0.2574,0.321957,0.8164,-1,1,9.7,2025-01-02 13:23:45.907000,0.7767995698456346,0.5280128357902297
293,-0.168,-0.279212,0.2615,0.323866,0.8897,-1,1,9.8,2025-01-02 13:23:45.997600,0.8141407678923674,0.5235451147340243
296,-0.1881,-0.243854,0.2561,0.32536,0.8622,-1,1,9.9,2025-01-02 13:23:46.117600,0.6611040092465865,0.6766777517734917
299,-0.1605,-0.371176,0.2585,0.329759,0.856,-1,1,10.0,2025-01-02 13:23:46.210200,0.5604910764006624,0.7572172947711338
302,-0.2033,-0.348932,0.2593,0.335901,0.8864,-1,1,10.1,2025-01-02 13:23:46.299700,0.3074980942528111,0.7546026185967146
305,-0.1604,-0.356319,0.2899,0.338308,0.9255,-1,1,10.2,2025-01-02 13:23:46.419000,-0.0324608146202983,0.7119443389386741
308,-0.1759,-0.38429,0.2769,0.33698,0.7857,-1,1,10.3,2025-01-02 13:23:46.513000,-0.1022326632693215,0.698823793671098
311,-0.1607,-0.385535,0.2746,0.331004,0.8707,-1,1,10.4,2025-01-02 13:23:46.602200,-0.1281710890726435,0.6900655128192088
314,-0.1585,-0.225511,0.2496,0.332747,0.837,-1,1,10.5,2025-01-02 13:23:46.723100,-0.057088203919899,0.0539373500595964
