Unnamed: 0,x1,y1,x2,y2,confidence,cluster,new_cluster,Time (seconds),Timestamp (Current Time),X,Y,Result
39,0.1287,-0.340134,0.366,0.001909,0.2782,-1,1,1.3,2025-01-09 13:37:27.296200,0.3607912333530682,0.9280461897104516,X
46,0.1258,-0.327684,0.3614,0.006889,0.317,-1,1,1.5,2025-01-09 13:37:27.506700,0.3705752041770543,0.8697393393270912,X
48,0.126,-0.33283,0.3501,0.00498,0.4046,-1,1,1.6,2025-01-09 13:37:27.598400,0.3760752419910729,0.847637372776506,X
102,-0.0626,-0.084328,-0.0323,-0.049302,0.3135,-1,1,3.4,2025-01-09 13:37:29.410700,0.3991360503637977,0.787172905461919,X
104,-0.0635,-0.082004,-0.0315,-0.055112,0.2597,-1,1,3.5,2025-01-09 13:37:29.500800,0.3989384031266748,0.7850728223256439,X
122,-0.064,-0.087731,-0.0295,-0.051128,0.2599,-1,1,4.1,2025-01-09 13:37:30.104400,0.3974152663919295,0.7818066279658427,X
125,-0.0655,-0.084909,-0.0324,-0.054531,0.3189,-1,1,4.2,2025-01-09 13:37:30.195200,0.388977981799449,0.8015442708136472,X
128,-0.0658,-0.084909,-0.035,-0.05312,0.432,-1,1,4.3,2025-01-09 13:37:30.316200,0.3891870105340756,0.7901511847256153,X
131,-0.0676,-0.086154,-0.0373,-0.053369,0.3917,-1,1,4.4,2025-01-09 13:37:30.405700,0.3842180545753992,0.7862023435088688,X
136,-0.0693,-0.083332,-0.0391,-0.055776,0.2754,-1,1,4.5,2025-01-09 13:37:30.521900,0.3437397214113713,0.3262370688869624,X
137,-0.0705,-0.084245,-0.0396,-0.055029,0.4601,-1,1,4.6,2025-01-09 13:37:30.617100,0.4372318766060702,0.3551694536686232,X
140,-0.0725,-0.082419,-0.0397,-0.054365,0.2533,-1,1,4.7,2025-01-09 13:37:30.709700,0.3820708597416146,0.5826166367599929,X
143,-0.0716,-0.080178,-0.0379,-0.056855,0.2999,-1,1,4.8,2025-01-09 13:37:30.799100,0.3803858163569273,0.7501027175722964,X
181,-0.1247,-0.148653,-0.0557,-0.079182,0.2724,-1,1,6.0,2025-01-09 13:37:32.007200,0.4603890771634205,0.7888535275019801,X
182,0.131,-0.326439,0.3409,0.000913,0.3082,-1,1,6.1,2025-01-09 13:37:32.099100,0.457586081338476,0.789519813149361,X
187,-0.0754,-0.042662,-0.0386,-0.004316,0.4416,-1,1,6.2,2025-01-09 13:37:32.220200,0.4527034487429113,0.7894674244625749,X
188,-0.0761,-0.041749,-0.0376,0.001411,0.5563,-1,1,6.3,2025-01-09 13:37:32.310900,0.4493908064648695,0.7894933726846206,X
191,-0.0772,-0.037433,-0.022,0.005478,0.4229,-1,1,6.4,2025-01-09 13:37:32.402300,0.4459021164364486,0.7877276746988368,X
194,-0.0778,-0.033864,-0.0504,-0.000249,0.2518,-1,1,6.5,2025-01-09 13:37:32.492500,0.4422539213584764,0.7839671983532371,X
220,-0.1714,-0.215053,0.2735,0.375575,0.3687,-1,1,7.3,2025-01-09 13:37:33.305600,0.4517727316324931,0.8560437411546478,X
221,-0.1734,-0.197042,0.2688,0.265932,0.6047,-1,1,7.4,2025-01-09 13:37:33.394500,0.3894108068735891,0.9019654137390678,X
