frame	x1	y1	x2	y2	confidence	cluster
577	-0.2761	0.2378	-0.1507	0.4501	0.6631	-1
577	-0.1619	0.0154	-0.0088	0.2341	0.6112	-1
577	-0.1671	0.0169	-0.0128	0.1418	0.3275	-1
578	0.0675	-0.0067	0.3463	0.3542	0.7757	-1
578	-0.3582	0.0533	-0.1184	0.2657	0.7042	-1
578	-0.2742	0.2377	-0.1513	0.4485	0.6352	-1
578	-0.1625	0.0157	-0.0079	0.2355	0.5701	-1
578	-0.1673	0.016	-0.0136	0.1406	0.354	-1
579	0.0662	-0.0027	0.3562	0.3554	0.7997	-1
579	-0.3571	0.0546	-0.1188	0.2713	0.708	-1
579	-0.159	0.0185	-0.0049	0.2298	0.6912	-1
579	-0.2801	0.2336	-0.1515	0.4759	0.6116	-1
579	-0.1643	0.0213	-0.0061	0.1407	0.279	-1
580	0.0674	-0.0014	0.3466	0.3528	0.833	-1
580	-0.3585	0.0531	-0.1178	0.2671	0.7328	-1
580	-0.1569	0.0135	-0.0004	0.2325	0.6984	-1
580	-0.2798	0.2342	-0.1486	0.4813	0.5724	-1
580	-0.1629	0.0225	-0.0176	0.14	0.3211	-1
581	0.0623	-0.0028	0.3684	0.3648	0.8032	-1
581	-0.3575	0.0586	-0.1172	0.2702	0.6206	-1
581	-0.2838	0.238	-0.151	0.4518	0.5877	-1
581	-0.1594	0.0153	0.0028	0.241	0.5165	-1
581	-0.3571	0.0777	-0.1839	0.2737	0.3288	-1
582	0.0616	0.0013	0.3651	0.3618	0.8549	-1
582	-0.3576	0.0544	-0.1164	0.2698	0.5537	-1
582	-0.2906	0.2393	-0.1492	0.4578	0.518	-1
582	-0.161	0.0154	0.0078	0.254	0.4743	-1
583	0.0618	0.0011	0.3654	0.3617	0.8558	-1
583	-0.3573	0.0547	-0.1166	0.2698	0.5457	-1
583	-0.291	0.239	-0.1493	0.4575	0.5206	-1
583	-0.1611	0.0154	0.0078	0.2538	0.4934	-1
584	0.0598	-0.0006	0.3672	0.3587	0.7937	-1
584	-0.3567	0.0573	-0.1186	0.2746	0.717	-1
584	-0.1591	0.0122	0.011	0.2537	0.7057	-1
584	-0.2795	0.2413	-0.1478	0.4562	0.4954	-1
585	-0.1605	0.0156	0.0125	0.2469	0.6369	-1
585	-0.3577	0.0555	-0.1233	0.2704	0.5458	-1
585	-0.2802	0.2434	-0.1477	0.4584	0.4334	-1
