Timestamp,EAR
48:48.4,0.273756123
49:01.6,0.273756123
49:01.7,0.24210371
49:01.7,0.225385103
49:01.8,0.212127089
49:01.8,0.26511646
49:01.8,0.256033086
49:01.9,0.211021406
49:01.9,0.275078932
49:02.0,0.263284812
49:02.0,0.255576727
49:02.1,0.280656524
49:02.1,0.24660714
49:02.2,0.30824798
49:02.2,0.281403994
49:02.3,0.296682159
49:02.3,0.261760344
49:02.4,0.268979339
49:02.4,0.294801192
49:02.5,0.262163466
49:02.5,0.274467586
49:02.5,0.278792806
49:02.6,0.272445966
49:02.6,0.232722614
49:02.6,0.235630636
49:02.7,0.260674687
49:02.7,0.227877087
49:02.7,0.221909315
49:02.8,0.232432026
49:02.8,0.22736016
49:02.8,0.227931268
49:02.9,0.260623346
49:02.9,0.249859346
49:03.0,0.240194498
49:03.0,0.279175707
49:03.0,0.252438446
49:03.1,0.278583852
49:03.1,0.272879754
49:03.1,0.26311567
49:03.2,0.218518256
49:03.2,0.212595852
49:03.2,0.261166663
49:03.3,0.244908002
49:03.3,0.25518274
49:03.4,0.249357718
49:03.4,0.260674687
49:03.4,0.250866196
49:03.5,0.284879018
49:03.5,0.261045064
49:03.5,0.273200883
49:03.6,0.27316602
49:03.6,0.261126512
49:03.6,0.244023421
49:03.7,0.26998588
49:03.7,0.270552232
49:03.7,0.273915262
49:03.9,0.27334056
49:03.9,0.264450656
49:03.9,0.273499609
49:04.0,0.257688848
49:04.1,0.244234708
49:04.1,0.296760224
49:04.2,0.237893736
49:04.2,0.269596374
49:05.9,0.262162496
49:06.1,0.256830833
49:06.2,0.222774197
49:06.2,0.238196225
49:06.3,0.199810132
49:06.4,0.245106467
49:06.4,0.238535276
49:06.4,0.27404436
49:06.5,0.266501442
49:06.5,0.261830234
49:06.5,0.261798748
49:06.7,0.236526847
49:06.8,0.243560919
49:06.8,0.262348205
49:06.9,0.274324992
49:06.9,0.236228645
49:06.9,0.262162496
49:07.0,0.244063743
49:07.0,0.274185036
49:07.0,0.256503922
49:07.1,0.274483762
49:07.1,0.282290305
49:07.1,0.283797881
49:07.2,0.237594337
49:07.2,0.266378404
49:07.2,0.267781084
49:07.3,0.228459626
49:07.3,0.266378404
49:07.4,0.230819038
49:07.4,0.236105832
49:07.4,0.21848067
49:07.4,0.255966712
49:07.5,0.218877343
49:07.5,0.267084706
49:07.5,0.238287432
49:07.6,0.280056044
49:07.6,0.244813407
49:07.6,0.285889917
49:07.7,0.266675309
49:07.7,0.237727174
49:07.7,0.248710432
49:07.8,0.235944536
49:07.8,0.26877569
49:07.8,0.284898498
49:07.9,0.294869361
49:07.9,0.268345267
49:07.9,0.262947486
49:08.0,0.268108281
49:08.0,0.256825673
49:08.0,0.268494821
49:08.1,0.274393139
49:08.1,0.296089309
49:08.1,0.267738902
49:08.2,0.27334056
49:08.2,0.251763755
49:08.2,0.268011297
49:08.3,0.289334405
49:08.3,0.273130231
49:08.3,0.301948052
49:08.4,0.291510248
49:08.4,0.273499609
49:08.4,0.289478033
49:08.5,0.272445966
49:08.5,0.26109405
49:08.5,0.299748811
49:09.1,0.28997773
49:09.7,0.255701731
49:11.7,0.256069646
49:12.8,0.256975224
49:13.1,0.261309596
49:13.1,0.236266168
49:13.2,0.273349103
49:13.2,0.262440062
49:13.2,0.202521176
49:13.3,0.227648247
49:13.4,0.256105611
49:13.4,0.257903284
49:13.4,0.244506494
49:13.5,0.261126512
49:13.5,0.27399863
49:13.6,0.250452845
49:13.6,0.274982783
49:13.6,0.256214601
49:13.7,0.286699554
49:13.7,0.279080126
49:13.7,0.239161351
49:13.8,0.273526132
49:13.8,0.27259834
49:13.8,0.233609495
49:13.9,0.267615792
49:13.9,0.244452367
49:13.9,0.263244819
49:14.0,0.267695448
49:14.0,0.273526132
49:14.0,0.201450333
49:14.1,0.26538352
49:14.1,0.244336145
49:14.2,0.278038946
49:14.2,0.21712418
49:14.2,0.251028192
49:14.3,0.25048902
49:14.3,0.238424782
49:14.4,0.295050379
49:14.4,0.26462979
49:14.4,0.238597733
49:14.4,0.252026657
49:14.5,0.245112763
49:14.5,0.222163649
49:14.6,0.239869902
49:14.6,0.244523933
49:14.6,0.252454101
49:14.7,0.268842411
49:14.7,0.269652992
49:14.8,0.278038946
49:14.8,0.284889769
49:14.8,0.250452344
49:14.9,0.291510248
49:14.9,0.282681815
49:14.9,0.26928575
49:15.0,0.274607837
49:15.0,0.261879649
49:15.1,0.252923093
49:15.1,0.2628216
49:15.2,0.208820195
49:15.2,0.247501484
49:15.3,0.238861585
49:15.3,0.215410093
49:15.3,0.260675624
49:15.4,0.221811254
49:15.5,0.245605345
49:15.6,0.259709563
49:15.6,0.248203923
49:15.8,0.217511145
49:15.9,0.277426796
49:15.9,0.176804701
49:15.9,0.208397582
49:16.0,0.20541369
49:16.0,0.225879693
49:16.0,0.200883911
49:16.1,0.232910441
49:16.1,0.205021929
49:16.2,0.222503013
49:16.2,0.213810927
49:16.2,0.226945735
49:16.3,0.209551239
49:16.3,0.231917907
49:16.3,0.253854474
49:16.6,0.220752405
49:16.6,0.226549753
49:16.7,0.218247091
49:16.7,0.23378088
49:16.8,0.265611015
49:17.0,0.267396722
49:17.0,0.256997754
49:17.3,0.256415411
49:18.2,0.183275436
49:18.5,0.221092454
49:18.6,0.227115144
49:18.7,0.227049974
49:18.7,0.215833765
49:18.7,0.214202301
49:18.8,0.207512264
49:18.8,0.189088629
49:18.8,0.233070123
49:18.9,0.219796724
49:18.9,0.207330598
49:19.0,0.164960083
49:19.0,0.207150669
49:19.0,0.234437495
49:19.1,0.233581398
49:19.1,0.258008053
49:19.2,0.226630537
49:19.5,0.225414551
49:19.5,0.210095921
49:19.6,0.249228294
49:19.7,0.223582948
49:20.0,0.232555599
49:20.2,0.214450106
49:21.4,0.198873852
49:21.7,0.209112253
49:21.7,0.244429041
49:22.0,0.183828406
49:22.0,0.175730032
49:22.1,0.194496397
49:22.2,0.160381777
49:22.4,0.190534164
49:22.6,0.1901061
49:22.7,0.200099777
49:22.8,0.249996658
49:22.9,0.249827675
49:22.9,0.16623601
49:22.9,0.277420208
49:22.9,0.241493771
49:23.0,0.264694411
49:23.0,0.2707127
49:23.1,0.214258825
49:23.1,0.242654045
49:23.2,0.207920183
49:23.2,0.214350055
49:23.3,0.197966361
49:23.3,0.211150076
49:23.4,0.228809935
49:23.4,0.229970208
49:23.4,0.223720355
49:23.5,0.295367594
49:23.5,0.198753529
49:23.6,0.227033891
49:23.6,0.21914777
49:23.7,0.205086559
49:23.7,0.250801576
49:23.8,0.268413407
49:23.8,0.214350055
49:23.8,0.223710633
49:23.9,0.206474702
49:24.3,0.170796431
