	x1	y1	x2	y2	confidence	cluster	new_cluster	
683.0	-0.0418	0.4264	-0.0117	0.4987	0.8225	-1	29	22.766666666666666
683.0	-0.1964	0.3631	-0.1862	0.3949	0.5026	-1	29	22.766666666666666
683.0	-0.195	0.4217	-0.1778	0.4635	0.4298	-1	29	22.766666666666666
683.0	-0.0442	0.1966	-0.029	0.2217	0.317	-1	29	22.766666666666666
684.0	-0.1698	0.0155	-0.0612	0.3258	0.8606	-1	29	22.8
684.0	-0.0417	0.4264	-0.0117	0.4987	0.8232	-1	29	22.8
684.0	-0.1964	0.3631	-0.1862	0.3949	0.5039	-1	29	22.8
684.0	-0.195	0.4217	-0.1778	0.4635	0.4299	-1	29	22.8
684.0	-0.0442	0.1966	-0.029	0.2217	0.3169	-1	29	22.8
685.0	-0.0415	0.4255	-0.013	0.4986	0.8147	-1	29	22.833333333333332
685.0	-0.1703	-0.0133	-0.0613	0.323	0.7416	-1	29	22.833333333333332
685.0	-0.1978	0.3654	-0.1877	0.3958	0.4966	-1	29	22.833333333333332
685.0	-0.1958	0.4238	-0.1789	0.4658	0.3683	-1	29	22.833333333333332
685.0	-0.0453	0.2038	-0.0282	0.2255	0.2647	-1	29	22.833333333333332
686.0	-0.0424	0.4281	-0.0152	0.4987	0.7771	-1	29	22.866666666666667
686.0	-0.1726	0.014	-0.062	0.3168	0.6968	-1	29	22.866666666666667
686.0	-0.1998	0.3665	-0.189	0.3979	0.3253	-1	29	22.866666666666667
686.0	-0.1476	-0.0277	-0.1134	0.0208	0.2815	-1	29	22.866666666666667
686.0	0.0017	-0.5	0.0669	-0.4043	0.2612	-1	29	22.866666666666667
687.0	-0.0451	0.4286	-0.0179	0.4987	0.7443	-1	29	22.9
687.0	-0.1763	0.0377	-0.0598	0.3214	0.5115	-1	29	22.9
687.0	-0.0018	-0.5	0.0618	-0.4033	0.3947	-1	29	22.9
687.0	-0.1501	-0.0241	-0.1187	0.0209	0.3384	-1	29	22.9
687.0	-0.2024	0.367	-0.1908	0.3992	0.3243	-1	29	22.9
687.0	0.0587	-0.1628	0.1062	-0.096	0.296	-1	29	22.9
688.0	0.0548	-0.1653	0.1098	-0.0936	0.6882	-1	29	22.933333333333334
688.0	-0.0083	-0.5	0.0596	-0.404	0.5745	-1	29	22.933333333333334
688.0	-0.0477	0.4253	-0.0192	0.4986	0.4986	-1	29	22.933333333333334
688.0	-0.0384	0.0412	-0.0271	0.0758	0.317	-1	29	22.933333333333334
688.0	-0.153	-0.0233	-0.1175	0.0217	0.3083	-1	29	22.933333333333334
688.0	-0.1777	0.0425	-0.06	0.3208	0.252	-1	29	22.933333333333334
689.0	0.0548	-0.1653	0.1098	-0.0936	0.6871	-1	29	22.966666666666665
689.0	-0.0083	-0.5	0.0596	-0.404	0.5716	-1	29	22.966666666666665
689.0	-0.0477	0.4253	-0.0192	0.4986	0.4959	-1	29	22.966666666666665
689.0	-0.0384	0.0412	-0.0271	0.0758	0.316	-1	29	22.966666666666665
689.0	-0.153	-0.0233	-0.1175	0.0217	0.3037	-1	29	22.966666666666665
690.0	0.0505	-0.1679	0.1124	-0.0966	0.6882	-1	29	23.0
690.0	-0.0511	0.4288	-0.0231	0.4987	0.4949	-1	29	23.0
690.0	-0.0418	0.038	-0.0303	0.0768	0.3955	-1	29	23.0
690.0	0.0314	-0.0584	0.043	-0.0178	0.3498	-1	29	23.0
690.0	-0.011	-0.5	0.0568	-0.4044	0.3296	-1	29	23.0
690.0	-0.2069	0.4254	-0.1889	0.4718	0.3139	-1	29	23.0
690.0	0.0703	-0.0519	0.3877	0.4985	0.2626	-1	29	23.0
691.0	-0.0132	-0.5	0.0556	-0.4074	0.5904	-1	29	23.033333333333335
691.0	-0.054	0.4261	-0.027	0.499	0.4358	-1	29	23.033333333333335
691.0	-0.2211	-0.0431	0.373	0.4987	0.3218	-1	29	23.033333333333335
691.0	0.0471	-0.1749	0.1149	-0.0982	0.2532	-1	29	23.033333333333335
692.0	-0.0161	-0.5	0.0522	-0.4084	0.5622	-1	29	23.066666666666666
692.0	-0.0576	0.4292	-0.0306	0.4981	0.5548	-1	29	23.066666666666666
692.0	0.0439	-0.1819	0.1152	-0.0972	0.4619	-1	29	23.066666666666666
692.0	-0.2942	-0.0359	0.3723	0.4987	0.3217	-1	29	23.066666666666666
693.0	-0.0641	0.4254	-0.0325	0.4983	0.7245	-1	29	23.1
693.0	-0.0198	-0.5	0.0428	-0.4127	0.6473	-1	29	23.1
693.0	0.0412	-0.2066	0.1212	-0.0996	0.5836	-1	29	23.1
693.0	-0.2308	-0.0476	0.3703	0.4988	0.4944	-1	29	23.1
693.0	-0.0439	0.0518	-0.0074	0.1094	0.4395	-1	29	23.1
694.0	-0.064	0.4254	-0.0325	0.4983	0.7255	-1	29	23.133333333333333
694.0	-0.0197	-0.5	0.0428	-0.4127	0.6492	-1	29	23.133333333333333
694.0	0.0411	-0.2066	0.1212	-0.0995	0.594	-1	29	23.133333333333333
694.0	-0.2311	-0.0475	0.3708	0.4988	0.4915	-1	29	23.133333333333333
694.0	-0.0438	0.0518	-0.0074	0.1094	0.444	-1	29	23.133333333333333
695.0	0.0382	-0.2085	0.1235	-0.1044	0.7793	-1	29	23.166666666666668
695.0	-0.0691	0.4214	-0.0352	0.4982	0.7314	-1	29	23.166666666666668
695.0	-0.022	-0.5	0.0441	-0.4136	0.6041	-1	29	23.166666666666668
695.0	-0.2207	-0.0594	0.3697	0.4989	0.5256	-1	29	23.166666666666668
695.0	-0.0497	0.0541	-0.0105	0.1096	0.4291	-1	29	23.166666666666668
695.0	-0.2188	0.4212	-0.2015	0.4623	0.4016	-1	29	23.166666666666668
695.0	-0.1934	0.0202	-0.0826	0.3229	0.2863	-1	29	23.166666666666668
696.0	0.0361	-0.2124	0.1247	-0.1064	0.7505	-1	29	23.2
696.0	-0.0747	0.4104	-0.0382	0.4988	0.75	-1	29	23.2
696.0	-0.0525	0.0506	-0.0149	0.1071	0.6206	-1	29	23.2
696.0	-0.3131	-0.0533	0.3745	0.4987	0.4105	-1	29	23.2
696.0	0.0533	-0.3031	0.1208	-0.234	0.3444	-1	29	23.2
696.0	-0.0267	-0.5	0.042	-0.4173	0.2889	-1	29	23.2
697.0	-0.0795	0.4107	-0.0426	0.4991	0.7106	-1	29	23.233333333333334
697.0	-0.0567	0.0501	-0.0181	0.1051	0.646	-1	29	23.233333333333334
697.0	0.0292	-0.2123	0.125	-0.1074	0.5889	-1	29	23.233333333333334
697.0	-0.2774	-0.0621	0.3654	0.4983	0.5379	-1	29	23.233333333333334
697.0	0.0562	-0.3057	0.1213	-0.2343	0.3213	-1	29	23.233333333333334
697.0	-0.0321	-0.5	0.0365	-0.4208	0.2751	-1	29	23.233333333333334
698.0	-0.0864	0.4069	-0.0478	0.4985	0.7558	-1	29	23.266666666666666
698.0	0.0233	-0.2177	0.1226	-0.1122	0.6855	-1	29	23.266666666666666
698.0	-0.2527	-0.0666	0.364	0.4976	0.5603	-1	29	23.266666666666666
698.0	-0.0616	0.0486	-0.025	0.1022	0.5103	-1	29	23.266666666666666
698.0	-0.2316	0.4161	-0.2147	0.4556	0.2605	-1	29	23.266666666666666
699.0	-0.0864	0.4069	-0.0478	0.4985	0.754	-1	29	23.3
699.0	0.0233	-0.2177	0.1227	-0.1122	0.6845	-1	29	23.3
699.0	-0.2524	-0.0665	0.364	0.4977	0.5678	-1	29	23.3
699.0	-0.0616	0.0486	-0.025	0.1022	0.5107	-1	29	23.3
699.0	-0.2316	0.4161	-0.2147	0.4556	0.2579	-1	29	23.3
755.0	-0.0639	0.1826	0.002	0.4947	0.4903	-1	29	25.166666666666668
761.0	-0.0635	0.1791	0.0092	0.4903	0.4448	-1	29	25.366666666666667
762.0	-0.064	0.1781	0.008	0.4922	0.3427	-1	29	25.4
763.0	-0.0639	0.1782	0.0079	0.4922	0.3351	-1	29	25.433333333333334
769.0	-0.0635	0.1745	0.0093	0.4936	0.2503	-1	29	25.633333333333333
770.0	-0.0636	0.174	0.0093	0.4935	0.3325	-1	29	25.666666666666668
771.0	-0.0636	0.1729	0.0104	0.4934	0.4041	-1	29	25.7
772.0	-0.0639	0.1725	0.0099	0.493	0.267	-1	29	25.733333333333334
773.0	-0.0638	0.1725	0.0099	0.493	0.2699	-1	29	25.766666666666666
775.0	-0.0636	0.1718	0.0106	0.4929	0.2856	-1	29	25.833333333333332
797.0	-0.3478	-0.4617	-0.0088	0.0474	0.8981	-1	29	26.566666666666666
798.0	-0.3446	-0.4729	-0.0014	0.0289	0.7778	-1	29	26.6
799.0	-0.344	-0.4808	0.0003	0.0193	0.8691	-1	29	26.633333333333333
799.0	0.412	-0.1684	0.4678	-0.0487	0.4521	-1	29	26.633333333333333
800.0	-0.3476	-0.4807	-0.0018	0.0252	0.868	-1	29	26.666666666666668
800.0	0.412	-0.1681	0.4675	-0.0481	0.5013	-1	29	26.666666666666668
801.0	-0.3481	-0.4786	-0.0005	0.0159	0.8575	-1	29	26.7
802.0	-0.3398	-0.469	0.0037	0.0173	0.865	-1	29	26.733333333333334
802.0	-0.2482	-0.1449	-0.2031	0.0022	0.2696	-1	29	26.733333333333334
803.0	-0.3399	-0.469	0.0038	0.0167	0.8628	-1	29	26.766666666666666
803.0	-0.2482	-0.145	-0.2031	0.0021	0.2693	-1	29	26.766666666666666
804.0	-0.3496	-0.4583	0.0062	0.0313	0.8625	-1	29	26.8
805.0	-0.3476	-0.461	0.0081	0.0252	0.8627	-1	29	26.833333333333332
806.0	-0.3457	-0.4659	0.0103	0.0162	0.9155	-1	29	26.866666666666667
807.0	-0.3464	-0.4785	0.0116	0.0035	0.9262	-1	29	26.9
808.0	-0.3464	-0.4784	0.0116	0.0037	0.9266	-1	29	26.933333333333334
