Timestamp,EAR,Normalized EAR,EAR 0/1,Transition Count
40:31.1,0.387571487,83.72587458734648,1,0
40:31.2,0.377701128,80.67899195859991,1,0
40:31.2,0.38103016,81.70663135564125,1,0
40:31.3,0.378307459,80.86616036768923,1,0
40:31.3,0.387369809,83.66361857469279,1,0
40:31.3,0.356630251,74.17461971603451,1,0
40:31.4,0.240543213,38.33969420776853,1,0
40:31.4,0.306076278,58.56910606168586,1,0
40:31.5,0.32218997,63.54324410871865,1,0
40:31.5,0.325904135,64.6897702704113,1,0
40:31.5,0.337385422,68.2339305097657,1,0
40:31.6,0.349638219,72.01624828897292,1,0
40:31.6,0.374573697,79.7135848050705,1,0
40:31.6,0.361208445,75.58786312183481,1,0
40:31.7,0.390029238,84.48455811929142,1,0
40:31.7,0.382080632,82.03090171792337,1,0
40:31.7,0.380528261,81.55170007659804,1,0
40:31.8,0.38103016,81.70663135564125,1,0
40:31.8,0.356717262,74.20147915492723,1,0
40:31.8,0.381246592,81.7734417828106,1,0
40:31.9,0.383211156,82.3798833443243,1,0
40:31.9,0.380528261,81.55170007659804,1,0
40:31.9,0.380528261,81.55170007659804,1,0
40:32.0,0.368824143,77.938754101786,1,0
40:32.0,0.36860855,77.8722026656549,1,0
40:32.0,0.380312668,81.48514864046697,1,0
40:32.1,0.392203956,85.15587215119467,1,0
40:32.1,0.383211156,82.3798833443243,1,0
40:32.1,0.370538161,78.4678545802548,1,0
40:32.2,0.380289835,81.47810031820616,1,0
40:32.2,0.391334207,84.88738919941248,1,0
40:32.2,0.383317863,82.41282274446824,1,0
40:32.3,0.379785609,81.32245071717722,1,0
40:32.3,0.416136141,92.54350199773307,1,0
40:32.3,0.396836827,86.5859938084843,1,0
40:32.4,0.40226411,88.26134262750816,1,0
40:32.4,0.420537678,93.90221312719507,1,0
40:32.4,0.419879077,93.69890948381439,1,0
40:32.5,0.404432022,88.93055571423085,1,0
40:32.5,0.392621214,85.28467558700741,1,0
40:32.5,0.300209631,56.758129902329536,1,0
40:32.6,0.263320987,45.370968746224044,1,0
40:32.6,0.314110875,61.04930703799071,1,0
40:32.6,0.361855357,75.7875584860184,1,0
40:32.7,0.380562004,81.56211620842689,1,0
40:32.7,0.383169774,82.36710912841757,1,0
40:32.7,0.368824143,77.938754101786,1,0
40:32.8,0.384615028,82.81324480663625,1,0
40:32.8,0.416791218,92.74571781701498,1,0
40:32.8,0.386052564,83.2569980142549,1,0
40:32.9,0.40663435,89.61039268125526,1,0
40:32.9,0.3937598,85.63614587342093,1,0
40:32.9,0.419198459,93.48880940933766,1,0
40:33.0,0.404483105,88.94632453331072,1,0
