Timestamp,EAR,Normalized EAR,EAR 0/1,Transition Count
00:27.7,0.333278953,73.13244009890674,1,0
00:27.7,0.18984808,21.53666771917613,0,0
00:27.7,0.224051218,33.84041576176466,0,0
00:27.8,0.306055891,63.339604839295006,1,1
00:27.8,0.365882217,84.86067233367997,1,0
00:27.8,0.376293165,88.60575797688881,1,0
00:27.9,0.34898556,78.7825104267216,1,0
00:27.9,0.351480857,79.68013290742577,1,0
00:27.9,0.375,88.14057328133562,1,0
00:28.0,0.395264736,95.43031979212576,1,0
00:28.0,0.365187684,84.6108309583283,1,0
00:28.0,0.350465515,79.31488828732519,1,0
00:28.1,0.377586329,89.07094231271631,1,0
00:28.1,0.388793165,93.10232933043994,1,0
00:28.1,0.359965792,82.73238216004526,1,0
00:28.2,0.366480849,85.07601565388148,1,0
00:28.2,0.376470588,88.6695815912297,1,0
00:28.2,0.379969635,89.92827875162402,1,0
00:28.3,0.359040287,82.3994542183998,1,0
00:28.3,0.378346571,89.34442090463362,1,0
00:28.3,0.363666066,84.06346584554048,1,0
00:28.4,0.379272076,89.67734884627909,1,0
00:28.4,0.388425505,92.97007257653223,1,0
00:28.4,0.365882217,84.86067233367997,1,0
00:28.5,0.345661866,77.58689224845202,1,0
00:28.5,0.318646272,67.86868856208656,1,0
00:28.5,0.317431276,67.43162326542422,1,0
00:28.6,0.347791574,78.35300296719032,1,0
00:28.6,0.363605489,84.04167474130975,1,0
00:28.6,0.364978022,84.53541014687804,1,0
00:28.7,0.365806566,84.83345872412256,1,0
00:28.7,0.36451592,84.36918017762854,1,0
00:28.7,0.32113696,68.76465306700126,1,0
00:28.8,0.303747755,62.50930898187899,1,0
00:28.8,0.186415098,20.301735837699592,0,0
00:28.9,0.247982075,42.44896024593498,1,1
00:28.9,0.259389773,46.55260248887599,1,0
00:28.9,0.313781367,66.11865716522674,1,0
00:29.0,0.350528416,79.33751539410197,1,0
00:29.0,0.313795281,66.1236623887318,1,0
