Time_Group,EAR
2359.5,0.2583051395
2360.3,0.2648295175
2360.4,0.251137409
2360.5,0.25897552349999997
2360.6,0.31194497
2360.7,0.3381066555
2360.8,0.2591730393333333
2360.9,0.2925323206666667
2361.0,0.29469446099999996
2361.1,0.2676724146666667
2361.2,0.26899109050000003
2361.3,0.2901826613333333
2361.4,0.301599349
2366.4,0.276741477
2367.2,0.2727323495
2373.2,0.293581094
2373.3,0.290656584
2373.6,0.30186388249999996
2373.7,0.29449128599999996
2373.8,0.371206198
2374.0,0.3108847775
2374.1,0.2890108613333333
2374.2,0.275474087
2374.3,0.30413725599999997
2374.4,0.326720096
2376.4,0.2740514865
2378.6,0.2528315305
2378.7,0.256929267
2378.8,0.25501578
2379.7,0.253890773
2382.2,0.252765766
2382.3,0.260661533
2382.9,0.2645140155
2383.3,0.2588642486666667
2383.4,0.261411893
2383.5,0.264145607
2383.6,0.25938390866666666
2383.7,0.2700459035
2383.8,0.25519971866666663
2383.9,0.25242778450000003
2384.0,0.25242778450000003
2384.1,0.252978389
2384.2,0.287401409
2384.3,0.27364979349999996
2384.4,0.260661533
2384.5,0.26388660799999997
2384.8,0.267111683
2384.9,0.2655488656666667
2385.0,0.2760558743333333
2385.1,0.262400585
2385.2,0.261725368
2385.3,0.26145935133333337
2385.4,0.2636918656666667
2385.5,0.26701377733333337
2385.6,0.25592854649999996
2385.7,0.2638965743333333
2385.8,0.28824072866666667
2385.9,0.2671237103333333
2386.0,0.264944812
2386.1,0.264840846
2386.2,0.2755142455
2386.3,0.264805521
2386.4,0.2700459035
2386.5,0.2717180906666667
2386.6,0.25863318599999996
2386.7,0.2632871446666667
2386.8,0.2656506005
2386.9,0.27048148033333336
2387.0,0.269639031
2387.3,0.272166379
2387.4,0.26503874266666666
2387.5,0.26082535333333334
2387.6,0.2633580715
2387.7,0.2726922056666667
2387.8,0.2595164995
2388.7,0.2559766925
2389.9,0.2587583075
2390.3,0.258541619
2390.4,0.260661533
2390.5,0.257447369
2390.6,0.26658601
2390.7,0.271255671
2390.8,0.2544156313333333
2391.2,0.25695125700000004
2391.3,0.260661533
2391.4,0.2581581886666667
2392.0,0.25660410050000004
2392.5,0.252978389
2392.6,0.25937438566666665
2392.7,0.265733305
2392.8,0.252978389
2392.9,0.25326043750000005
2393.9,0.27916892400000004
