Timestamp,EAR,Normalized EAR,EAR 0/1,Transition Count
31:46.9,0.213703578,32.58133391040198,0,0
31:46.9,0.215588384,33.05351892456798,0,0
31:46.9,0.217217998,33.4617727765162,0,0
31:47.0,0.202897719,29.874230534780892,0,0
31:47.0,0.237454751,38.53152080468407,1,1
31:47.0,0.244771757,40.364590405355315,1,0
31:47.1,0.243064589,39.936907584808395,1,0
31:47.1,0.231632378,37.07288937127142,1,0
31:47.1,0.244255418,40.23523622352999,1,0
31:47.2,0.237454751,38.53152080468407,1,0
31:47.2,0.251517345,42.05450733332458,1,0
31:47.2,0.256932094,43.41102006369066,1,0
31:47.3,0.236083268,38.18793439855876,1,0
31:47.3,0.295916066,53.1773553634866,1,0
31:47.3,0.22787557,36.13172702421875,1,0
31:47.3,0.237454751,38.53152080468407,1,0
31:47.4,0.249615088,41.57795046301943,1,0
31:47.4,0.271866368,47.15238144531245,1,0
31:47.4,0.25838575,43.77519259866376,1,0
31:47.5,0.271612599,47.08880677563297,1,0
31:47.5,0.256932094,43.41102006369066,1,0
31:47.5,0.250988242,41.92195549109239,1,0
31:47.6,0.271445285,47.04689096919974,1,0
31:47.6,0.292590757,52.344292927739176,1,0
31:47.6,0.278937092,48.923752033109764,1,0
31:47.7,0.292590757,52.344292927739176,1,0
31:47.7,0.258639261,43.83870263371577,1,0
31:47.7,0.291595615,52.09498815081933,1,0
31:47.8,0.25838575,43.77519259866376,1,0
31:47.8,0.270467836,46.802018674697536,1,0
31:47.8,0.31430726,57.78475060703939,1,0
31:47.9,0.316548978,58.34634986212782,1,0
31:47.9,0.26482272,45.38779398609364,1,0
31:47.9,0.296565388,53.340024687421426,1,0
31:48.0,0.315175824,58.00234483405485,1,0
31:48.0,0.3203587,59.30076832033442,1,0
31:48.0,0.28321184,49.994669647408585,1,0
31:48.1,0.301533763,54.584710994530504,1,0
31:48.1,0.230191336,36.711876918433404,1,0
31:48.1,0.244518245,40.30108011978149,1,0
31:48.2,0.264609859,45.33446766269463,1,0
31:48.2,0.25269541,42.34963831163932,1,0
31:48.2,0.282067822,49.708068185223006,1,0
31:48.3,0.264855747,45.39606796997465,1,0
31:48.3,0.25838575,43.77519259866376,1,0
31:48.3,0.258167269,43.720458342681965,1,0
31:48.4,0.318952613,58.948512857430735,1,0
31:48.4,0.259513016,44.05759731945669,1,0
31:48.4,0.238827905,38.87552583275705,1,0
31:48.5,0.284771688,50.385445594629054,1,0
31:48.5,0.28321184,49.994669647408585,1,0
31:48.5,0.318952613,58.948512857430735,1,0
31:48.6,0.256445432,43.28910061767655,1,0
31:48.6,0.22992521,36.6452065507245,1,0
31:48.6,0.285240724,50.50294934318692,1,0
31:48.7,0.25499395,42.925472717122496,1,0
31:48.7,0.292365313,52.28781428838127,1,0
31:48.7,0.256932424,43.411102735888576,1,0
31:48.8,0.298464048,53.81568043076924,1,0
31:48.8,0.335234179,63.02740027202661,1,0
31:48.8,0.269104818,46.46055293570979,1,0
31:48.9,0.314052921,57.721033139927144,1,0
31:48.9,0.351337797,67.06170783124169,1,0
31:50.2,0.263276203,45.00035774514736,1,0
31:50.4,0.240643255,39.33031060395698,1,0
31:50.4,0.148277414,16.19065276063513,0,0
31:50.5,0.155879734,18.095199741541656,0,0
31:50.5,0.220090343,34.181357850266316,0,0
31:50.5,0.23878782,38.86548366592776,1,1
31:50.6,0.375686157,73.16150309479616,1,0
31:50.6,0.307961475,56.194993051025975,1,0
31:50.6,0.304200684,55.25283287559658,1,0
31:50.7,0.331002734,61.9673310037477,1,0
31:50.7,0.267620066,46.08859017447441,1,0
31:50.7,0.316078982,58.228605612630545,1,0
31:50.8,0.273722983,47.61750399907967,1,0
31:50.8,0.310608245,56.858066667060825,1,0
31:50.8,0.270285972,46.756457775901424,1,0
31:50.9,0.301895924,54.675440224443484,1,0
31:50.9,0.19741846,28.501556642330307,0,0
31:50.9,0.251081786,41.94539030346308,1,1
31:51.0,0.164806434,20.33153279966843,0,0
31:51.0,0.215386997,33.003067088438506,0,0
31:51.0,0.253313096,42.50438212753344,1,1
31:51.1,0.22737363,36.005980105962706,1,0
31:51.1,0.227364042,36.00357810283038,1,0
31:51.3,0.226293779,35.73545387688015,1,0
31:51.3,0.193467749,27.51181736438828,0,0
31:51.4,0.25166929,42.092572870030985,1,1
31:51.4,0.287914965,51.172905043915975,1,0
31:51.4,0.235814298,38.12055154681687,1,0
31:51.5,0.18213625,24.673029703569565,0,0
31:51.5,0.205960993,30.641647487551822,0,0
31:51.5,0.160930438,19.360511258901166,0,0
31:51.6,0.200735055,29.332436031008985,0,0
31:51.6,0.153791419,17.57203128396137,0,0
31:51.6,0.230728916,36.84655243406492,1,1
31:51.7,0.184131276,25.172827231841204,0,0
31:51.8,0.210186303,31.70017980451482,0,0
31:51.9,0.185571809,25.53371216907697,0,0
31:51.9,0.163084777,19.90022016858915,0,0
31:52.0,0.186340072,25.726178807838846,0,0
31:52.0,0.168446099,21.243348270111813,0,0
31:52.0,0.234888088,37.888515739433664,1,1
31:52.1,0.243235661,39.979764852210664,1,0
31:52.1,0.27401986,47.69187816302576,1,0
31:52.1,0.248791307,41.37157535430548,1,0
31:52.2,0.339386941,64.06775773258119,1,0
31:52.2,0.230602132,36.81479027666727,1,0
31:52.2,0.30174972,54.6388129334591,1,0
31:52.3,0.304548706,55.34001997761136,1,0
31:52.3,0.297695671,53.62318523252081,1,0
31:52.3,0.288326307,51.27595518705913,1,0
