Timestamp,EAR,Normalized EAR,EAR 0/1,Transition Count
03:20.2,0.312695877,60.04186060168949,1,0
03:20.2,0.323827966,64.12778808549842,1,0
03:20.2,0.342378669,70.93664734198448,1,0
03:20.3,0.318386342,62.13049170580235,1,0
03:20.3,0.324296802,64.29986988414366,1,0
03:20.3,0.317303345,61.73298794822527,1,0
03:20.4,0.308398859,58.46468097757567,1,0
03:20.4,0.295613268,53.77185129721287,1,0
03:20.4,0.308352602,58.4477027852868,1,0
03:20.5,0.34496323,71.88528589701944,1,0
03:20.5,0.347794635,72.92452619659791,1,0
03:20.5,0.360027724,77.41456526805884,1,0
03:20.5,0.352332102,74.58996034127424,1,0
03:20.6,0.35424819,75.29324223388187,1,0
03:20.6,0.352557983,74.67286781587048,1,0
03:20.6,0.353700432,75.09219286509978,1,0
03:20.7,0.329325624,66.14565121242651,1,0
03:20.7,0.348025123,73.00912462676568,1,0
03:20.7,0.333765681,67.77533194224984,1,0
03:20.8,0.322357113,63.58792546875658,1,0
03:20.8,0.333067609,67.51911124813955,1,0
03:20.8,0.328222949,65.74092483194131,1,0
03:20.9,0.320320085,62.8402536983918,1,0
03:20.9,0.350706454,73.99328169073533,1,0
03:20.9,0.329305946,66.13842858951843,1,0
03:21.0,0.325732655,64.82688608347601,1,0
03:21.0,0.311499347,59.60268563531956,1,0
03:21.0,0.22455307,27.689880877006555,0,0
03:21.1,0.253379518,38.27035468958468,1,1
03:21.1,0.267364644,43.40346229301209,1,0
03:21.1,0.268321227,43.75456699314918,1,0
03:21.2,0.310507545,59.23865413590408,1,0
03:21.2,0.307926734,58.291391982734396,1,0
03:21.2,0.335784504,68.5163217403592,1,0
03:21.3,0.334649747,68.099819966636,1,0
03:21.3,0.343003609,71.16602563043793,1,0
03:21.3,0.358991048,77.03406319336243,1,0
03:21.4,0.359436134,77.19742778019413,1,0
03:21.4,0.346627668,72.496202048453,1,0
03:21.4,0.355848496,75.88061934413534,1,0
03:21.5,0.336860159,68.9111306866043,1,0
03:21.5,0.319144652,62.408822185395806,1,0
03:21.5,0.316877858,61.57681698810238,1,0
03:21.6,0.315790382,61.17766925613736,1,0
03:21.6,0.307485196,58.12932965558755,1,0
03:21.6,0.315403079,61.0355133703677,1,0
03:21.7,0.328542788,65.85831869759349,1,0
03:21.7,0.332308003,67.24030508406145,1,0
03:21.7,0.366978986,79.96595993018889,1,0
03:21.8,0.332935352,67.47056757307317,1,0
03:21.8,0.357758159,76.58154300154708,1,0
03:21.8,0.366978986,79.96595993018889,1,0
03:21.9,0.359472554,77.21079539510991,1,0
03:21.9,0.324115985,64.23350272252289,1,0
03:21.9,0.353141892,74.88718606567456,1,0
03:22.0,0.370367482,81.20967518751182,1,0
03:22.0,0.379741206,84.65021150708662,1,0
