Timestamp,EAR
38:04.9,0.151560155
38:04.9,0.142301555
38:04.9,0.108312335
38:05.0,0.138985722
38:05.0,0.182552856
38:05.0,0.186805627
38:05.1,0.182931628
38:05.1,0.158145437
38:05.1,0.207489937
38:05.2,0.28637505
38:05.2,0.304863529
38:05.2,0.329809967
38:05.3,0.344847333
38:05.3,0.349563319
38:05.3,0.213681815
38:05.4,0.168120142
38:05.4,0.162301394
38:05.4,0.201830679
38:05.5,0.263408689
38:05.5,0.287359203
38:05.5,0.28637505
38:05.6,0.310157624
38:05.6,0.310157624
38:05.6,0.30934864
38:05.7,0.30934864
38:05.7,0.297282184
38:05.7,0.316455448
38:05.8,0.324255579
38:05.8,0.330045606
38:05.8,0.333333333
38:05.9,0.32209849
38:05.9,0.33314469
38:05.9,0.333990735
38:06.0,0.331047244
38:06.0,0.332582579
38:06.0,0.33314469
38:06.1,0.332956046
38:06.1,0.328963922
38:06.1,0.333801134
38:06.2,0.328775278
38:06.2,0.338184494
38:06.2,0.329620366
38:06.3,0.329809967
38:06.3,0.337966154
38:06.3,0.317868144
38:06.4,0.321253402
38:06.4,0.344847333
38:06.4,0.354631326
38:06.5,0.349563319
38:06.5,0.33314469
38:06.6,0.321909846
38:06.6,0.285566066
38:06.6,0.172655781
38:06.7,0.118912874
38:06.7,0.167839087
38:06.7,0.19559865
38:06.8,0.240016136
38:06.8,0.267621775
38:06.8,0.296760224
38:06.9,0.293142119
38:06.9,0.304574756
38:06.9,0.300861687
38:07.0,0.317868144
38:07.0,0.304574756
38:07.0,0.328963922
38:07.1,0.292669994
38:07.1,0.316479517
38:07.2,0.310332793
38:07.2,0.30934864
38:07.2,0.316883991
38:07.3,0.329543564
38:07.3,0.328963922
38:07.3,0.329997163
38:07.4,0.329206255
38:07.4,0.318044428
38:07.5,0.304992703
38:07.5,0.312997345
38:07.5,0.342323111
38:07.6,0.310157624
38:07.6,0.329953123
38:07.6,0.319567949
38:07.7,0.34340106
38:07.7,0.325701198
38:07.7,0.318070889
38:07.8,0.318070889
38:07.8,0.355601333
38:07.8,0.354094252
38:07.9,0.322099448
38:07.9,0.341448326
38:07.9,0.3375
38:08.0,0.328963922
38:08.0,0.341448326
38:08.1,0.330012712
38:08.1,0.30952381
38:08.1,0.338168899
38:08.2,0.322274617
38:08.2,0.338185603
38:08.2,0.342366371
38:08.3,0.337966154
38:08.3,0.313347382
38:08.3,0.338185603
38:08.3,0.337297255
38:08.4,0.324797255
38:08.4,0.32836021
38:08.4,0.263581786
38:08.5,0.149580654
38:08.5,0.166062963
38:08.5,0.224301322
38:08.6,0.252160484
38:08.6,0.27414606
38:08.6,0.308179713
38:08.7,0.305607996
38:08.7,0.298441506
38:08.7,0.318461261
38:08.8,0.32209849
38:08.8,0.32209849
38:08.8,0.321387886
38:08.9,0.343211458
38:08.9,0.334835823
38:08.9,0.33314469
38:09.0,0.321253402
38:09.0,0.333989777
38:09.0,0.351557246
38:09.1,0.321909846
38:09.1,0.330570889
38:09.1,0.322099448
38:09.2,0.333990735
38:09.2,0.321253402
38:09.2,0.330697206
38:09.3,0.32209849
38:09.3,0.326572842
38:09.4,0.321253402
38:09.4,0.333990735
38:09.4,0.342975083
38:09.5,0.351572842
38:09.5,0.333990735
38:09.5,0.333990735
38:09.6,0.333989777
38:09.6,0.33314469
38:09.6,0.334835823
38:09.7,0.333990735
38:09.7,0.321253402
38:09.7,0.351557246
38:09.8,0.341478023
38:09.8,0.33400421
38:09.8,0.331459236
38:09.9,0.329586736
38:09.9,0.343211458
38:09.9,0.354589174
38:10.0,0.350670007
38:10.0,0.338185603
38:10.0,0.342294371
38:10.1,0.341448326
38:10.1,0.325907435
38:10.1,0.343211458
38:10.2,0.341259682
38:10.2,0.318966355
38:10.2,0.349563319
38:10.3,0.338853393
38:10.3,0.329662517
38:10.3,0.351776695
38:10.4,0.346084141
38:10.4,0.35
38:10.4,0.349563319
38:10.5,0.317868144
38:10.5,0.342366371
38:10.5,0.32459451
38:10.6,0.349781659
38:10.6,0.329586736
38:10.6,0.325481749
38:10.7,0.324797255
38:10.7,0.170629841
38:10.7,0.120518887
38:10.8,0.122215989
38:10.8,0.183198373
38:10.8,0.216815653
38:10.9,0.151340726
38:10.9,0.16836136
38:11.0,0.249688085
38:11.0,0.269368807
38:11.0,0.305976856
38:11.1,0.318901385
38:11.1,0.306454042
38:11.1,0.321253402
38:11.2,0.328963922
38:11.2,0.18963184
38:11.2,0.151743908
38:11.3,0.157911125
38:11.3,0.219381224
38:11.3,0.264803419
38:11.4,0.280617012
38:11.4,0.287613423
38:11.4,0.312110106
38:11.5,0.317868144
38:11.5,0.305491724
38:11.5,0.336475203
38:11.6,0.349797107
38:11.6,0.329368395
38:11.7,0.305491724
38:11.7,0.3375046
38:11.7,0.338853393
38:11.8,0.325481749
38:11.8,0.30934864
38:11.8,0.318745491
38:11.9,0.304992703
38:11.9,0.292508299
38:11.9,0.293655262
38:11.9,0.306041637
38:12.0,0.314219026
38:12.0,0.316883991
38:12.0,0.342146922
38:12.1,0.316883991
38:12.1,0.329809967
38:12.1,0.340636899
38:12.2,0.318092401
38:12.2,0.316280279
38:12.2,0.296760224
38:12.3,0.298428031
38:12.3,0.322085015
38:12.3,0.329244149
38:12.4,0.31862407
38:12.4,0.340609531
38:12.4,0.316883991
38:12.5,0.304826467
38:12.5,0.318148371
38:12.5,0.32836021
38:12.6,0.323990798
38:12.6,0.329620366
38:12.6,0.304687402
38:12.7,0.311002712
38:12.7,0.326656644
38:12.7,0.321858781
38:12.8,0.270030993
38:12.8,0.1638761
38:12.8,0.163990583
38:12.9,0.284694264
38:12.9,0.172615047
38:12.9,0.175586123
38:13.0,0.170508816
38:13.0,0.147851113
38:13.0,0.142690445
38:13.1,0.229791886
38:13.1,0.270402048
38:13.1,0.304992703
38:13.2,0.297443878
38:13.2,0.310320434
38:13.2,0.31705916
38:13.3,0.321239928
38:13.3,0.321909846
38:13.3,0.329543564
38:13.4,0.321239928
38:13.4,0.304992703
38:13.4,0.297282184
38:13.5,0.332956046
38:13.5,0.329368395
38:13.5,0.321239928
38:13.6,0.30934864
38:13.6,0.203329355
38:13.6,0.130563256
38:13.7,0.158145437
38:13.7,0.21896327
38:13.7,0.230854557
38:13.8,0.269310077
38:13.8,0.274677079
38:13.9,0.287359203
38:13.9,0.311552834
38:13.9,0.317204265
38:14.0,0.304510894
38:14.0,0.316362031
38:14.0,0.332956046
38:14.1,0.313143347
38:14.1,0.316883991
38:14.1,0.333990735
38:14.2,0.329586736
38:14.2,0.350019856
38:14.2,0.340798175
38:14.3,0.350019856
